senate	senit	n.参议院，上院
stress	stres	n.压力；重音vt.着重
stretch	stretʃ	vt.伸展vi.伸n.伸展
string	striŋ	n.线，细绳；一串
strip	strip	vt.剥；夺去n.条带
stripe	straip	n.条纹，条子
stroke	strəuk	n.打，击；鸣声；中风vt.抚，摩，捋
structural	strΛktʃərəl	a.结构的，构造的
stuff	stΛf	n.材料vt.装，填，塞
submarine	sΛbməri:n	a.水下的n.潜水艇
submerge	sΛb'mə:dʒ	vt.浸没vi.潜入水中
submit	sΛb'mit	vt.使服从vi.服从
subsequent	sΛbsikwənt	a.随后的，后来的
substance	sΛbstəns	n.物质；实质；本旨
substantial	səb'stænʃəl	a.物质的；坚固的
substitute	sΛbstitju:t	n.代替人vt.用…代替
subtract	səb'trækt	vt.减，减去，去掉
subway	sΛbwei	n.地道；地下铁路
succession	sək'seʃən	n.连续；继任，继承
successive	sək'sesiv	a.连续的；接连的
suck	sΛk	vt.吸，吮，啜；吸收
sufficient	sə'fiʃənt	a.足够的，充分的
suit	sju:t	n.起拆，诉讼【其动词形式为sue】vt.适合
sulfur	sΛlfə	n.硫(磺)，硫黄
sulphur	sΛlfə	n.硫(磺)，硫黄
sum	sΛm	n.总数；金额vi.共计
summarize	sΛməraiz	vt.概括，概述，总结
superficial	sju:pə'fiʃəl	a.表面的；肤浅的
superior	sju:'piəriə	a.较高的；优越的
supplement	sΛplimənt	n.&vt.增补，补充
suppose	sə'pəuz	vt.猜想；假定；让
supreme	sju:'pri:m	a.最高的；最大的
surgery	sə:dʒəri	n.外科，外科手术
surrender	sə'rendə	vt.交出vi.投降
surroundings	sə'raundiŋz	n.周围的事物，环境
survey	sə:'vei	vt.俯瞰；检查；测量
survive	sə'vaiv	vt.幸免于vi.活下来
suspect	səs'pekt,'sΛspekt	vt.怀疑vi.疑心
suspend	səs'pend	vt.吊，悬；推迟
suspicion	səs'piʃən	n.怀疑，疑心，猜疑
suspicious	səs'piʃəs	adj.怀疑的；可疑的
sustain	səs'tein	vt.支撑；供养；忍受
swallow	swɔləu	n.燕子vt.&vi.吞下，咽下
sway	swei	vi.摇动vt.摇；摇动
swear	sweə	vt.宣(誓)vi.诅咒
sweater	swetə	n.厚运动衫，毛线衫
sweep	swi:p	vt.扫；刮起；扫过
swell	swel	vi.膨胀；隆起；增长
swift	swift	a.快的；反应快的
swing	swiŋ	vi.摇摆；回转n.摇摆
switch	switʃ	n.开关；转换vt.转换
sword	sɔ:d	n.剑，刀
symbol	simbəl	n.象征；符号，记号
sympathetic	simpə'θetik	a.同情的；和谐的
sympathize	simpəθaiz	vi.同情；同感，共鸣
synthetic	sin'θetik	a.综合的；合成的
systematic(al)	sisti'mætik(əl)	a.有系统的；有计划的
tag	tæg	n.附加语；标签
tailor	teilə	n.裁缝vt.裁制衣服
tale	teil	n.故事，传说
talent	tælənt	n.天才；才能；人才
talk	tɔ:k	vi.讲话vt.谈论
tame	teim	a.驯服的；顺从的
tank	tæŋk	n.坦克；大容器，槽
tap	tæp	n.塞子；龙头vt.开发
taste	teist	n.味觉，品味
technical	teknikəl	a.技术的，工艺的
technician	tek'niʃən	n.技术员，技师
tedious	ti:diəs	a.冗长乏味的，沉闷的
telegram	teligræm	n.电报
telescope	teliskəup	n.望远镜
temple	templ	n.圣堂，神殿，庙宇
temporary	tempərəri	a.暂时的，临时的
tempt	tempt	vt.引诱，诱惑；吸引
temptation	temp'teiʃən	n.诱惑，引诱
tend	tend	vt.照管，照料，护理vi.走向，趋向；倾向
tendency	tendənsi	n.趋向，趋势，倾向
tender	tendə	a.嫩的；脆弱的
tense	tens	n.时态，时a.拉紧的，绷紧的
tension	tenʃən	n.紧张,不安,拉紧,张力
terminal	tə:minl	a.末端的n.末端
terrible	terəbl	a.可怕的；极度的
territory	teritəri	n.领土，版图；领域
terror	terə	n.恐怖，惊骇
textile	tekstail	n.纺织品a.纺织的
theoretical	θiə'retikəl	a.理论(上)的
thereby	ðeə'bai	ad.因此，从而，由此
therefore	ðeəfɔ:	ad.因此，所以【绝对不可以直接连接两个独立的句子】
thermometer	θə'mɔmitə	n.温度计，寒暑表
thickness	θiknis	n.厚(度)；密(度)
thorough	θΛrə	a.彻底的；详尽的
thoughtful	θɔ:tful	a.沉思的；体贴的
thread	θred	n.线；丝；螺纹；头绪
threat	θret	n.威胁，恐吓，凶兆
threaten	θretn	vt.&vi.威胁，恐吓
thrive	θraiv	vi.兴旺，繁荣，旺盛
throat	θrəut	n.咽喉，喉咙；嗓音
throughout	θru:'aut	prep.遍及ad.到处
thrust	θrΛst	vt.插，刺n.插；讽刺
thunder	θΛndə	n.雷vi.打雷vt.吼出
thus	ðΛs	ad.如此，这样；因而
tide	taid	n.潮，潮汐；潮流
tidy	taidi	a.整洁的；整齐的
tin	tin	n.锡；罐头
tip	tip	vt.轻击vi.给小费
tire	taiə	vi.疲劳，累；厌倦
tissue	tisju:	n.薄绢；薄纸；组织
toast	təust	n.烤面包vt.烘，烤
toe	təu	n.脚趾，足尖
toilet	tɔilit	n.厕所，盥洗室，浴室
tolerance	tɔlərəns	n.忍受，容忍；公差
tolerate	tɔləreit	vt.忍受，容忍，宽恕
tone	təun	n.音；腔调；声调
torch	tɔ:tʃ	n.火炬，火把；手电筒
torture	tɔ:tʃə	n.拷问；折磨vt.拷打
